AppID,Name,Category,Discount,Price,Rating%,Release,Followers,Online,Peak
1118200,"People Playground","",,"₹ 349",97.40,"Jul 2019",100924,3674,17015
431960,"Wallpaper Engine","Application",,"₹ 250",97.28,"Nov 2018",1484795,108161,150375
1794680,"Vampire Survivors","",,"₹ 249",97.22,"Oct 2022",143755,3379,77061
3164500,"Schedule I","",,"₹ 880",96.79,"Mar 2025",268121,6653,459075
1055540,"A Short Hike","",,"₹ 299",96.74,"Jul 2019",22161,34,388
294100,"RimWorld","",,"₹ 1500",96.73,"Oct 2018",637148,29197,96040
433340,"Slime Rancher","",-75%,"₹ 224",96.67,"Aug 2017",260213,1608,17059
2795000,"The WereCleaner","",,"Free",96.54,"May 2024",5663,15,193
508440,"Totally Accurate Battle Simulator","",-66%,"₹ 305",96.49,"Apr 2021",356549,2121,13674
1289310,"Helltaker","",,"Free",96.31,"May 2020",98849,69,6509
3097300,"Creature Kitchen","",,"₹ 400",96.26,"Feb 2026",9047,57,553
1931770,"Chants of Sennaar","",,"₹ 899",96.14,"Sep 2023",38691,326,1584
264710,"Subnautica","",,"₹ 1800",96.09,"Jan 2018",642858,11586,51446
367520,"Hollow Knight","",,"₹ 690",96.04,"Feb 2017",455800,6556,95655
1040200,"Crime Scene Cleaner","",-36%,"₹ 1293",95.99,"Aug 2024",77985,1221,13577
1366540,"Dyson Sphere Program","",,"₹ 679",95.97,"Jan 2021",251694,4263,59815
1669980,"Volcano Princess","",-35%,"₹ 344",95.96,"Apr 2023",73059,786,31057
1361320,"The Room 4: Old Sins","",,"₹ 450",95.95,"Feb 2021",14036,55,1199
774181,"Rhythm Doctor","",,"₹ 880",95.94,"Dec 2025",46420,183,2892
239030,"Papers, Please","",,"₹ 480",95.72,"Aug 2013",121892,189,6129
667970,"VTOL VR","",,"₹ 729",95.66,"Aug 2017",38675,101,1777
1424330,"Wobbledogs","",,"₹ 599",95.64,"Mar 2022",15189,82,591
1082430,"Before Your Eyes","",,"₹ 480",95.64,"Apr 2021",20591,13,510
288160,"The Room","",,"₹ 259",95.62,"Jul 2014",27246,66,809
1260520,"Patrick's Parabox","",,"₹ 880",95.57,"Mar 2022",11598,75,592
1533420,"Neon White","",,"₹ 1124",95.56,"Jun 2022",34563,96,3277
2600140,"Please, Touch The Artwork 2","",,"Free",95.50,"Feb 2024",2280,12,365
457140,"Oxygen Not Included","",,"₹ 569",95.46,"Jul 2019",411722,11900,27486
1240210,"There Is No Game: Wrong Dimension","",,"₹ 419",95.45,"Aug 2020",29270,106,1348
1868140,"DAVE THE DIVER","",,"₹ 880",95.44,"Jun 2023",234616,6070,98480
531510,"Just Shapes & Beats","",-40%,"₹ 539",95.39,"May 2018",36069,106,966
1562700,"SANABI","",,"₹ 690",95.39,"Nov 2023",33358,147,7663
304430,"INSIDE","",-90%,"₹ 110",95.38,"Jul 2016",174894,217,4170
3520250,"MR DONALD: SAVE VATICAN","Demo",,"Free",95.30,"Jun 2025",0,12,438
1353230,"Bomb Rush Cyberfunk","",,"₹ 1600",95.27,"Aug 2023",48777,36,8174
1057090,"Ori and the Will of the Wisps","",-75%,"₹ 174",95.24,"Mar 2020",201865,1074,34807
274190,"Broforce","",,"₹ 690",95.23,"Oct 2015",114098,257,4285
425580,"The Room Two","",,"₹ 259",95.22,"Jul 2016",18218,52,401
636480,"Ravenfield","",,"₹ 810",95.18,"May 2017",124373,826,3939
1211020,"Wobbly Life","",,"₹ 1050",95.16,"Sep 2025",41139,845,10421
1043810,"Tactical Breach Wizards","",,"₹ 880",95.15,"Aug 2024",51503,68,4761
3419430,"Bongo Cat","",,"Free",95.15,"Mar 2025",923057,152877,194508
990630,"The Last Campfire","",-90%,"₹ 69",95.14,"Oct 2021",23623,233,1381
541570,"Sally Face - Episode One","",,"₹ 155",95.09,"Dec 2016",53555,127,2107
557600,"Gorogoa","",,"₹ 659",95.07,"Dec 2017",43262,73,813
268910,"Cuphead","",-40%,"₹ 339",95.07,"Sep 2017",355939,3285,19026
1586800,"Lil Gator Game","",-50%,"₹ 440",95.06,"Dec 2022",11039,15,458
362680,"Fran Bow","",,"₹ 479",95.06,"Aug 2015",49868,41,796
1328840,"Lost in Play","",,"₹ 409",95.05,"Aug 2022",17009,64,511
